Producto,Calorias,Proteinas,Hidratos_Carbono,Azucares,Grasas,Grasas_Saturadas,Sal,Restaurante
BigMac,503.0,26.0,42.0,8.5,25.0,9.7,2.2,Mcdonals
McRoyal_Deluxe,530.0,29.0,33.0,6.9,31.0,12.0,2.0,Mcdonals
McSpicy,591.0,27.0,51.0,6.0,30.0,18.0,3.4,Mcdonals
Cuarto_de_Libra,521.0,32.0,37.0,9.5,27.0,14.0,2.6,Mcdonals
McPollo,427.0,19.0,43.0,5.9,20.0,3.0,2.0,Mcdonals
CBO,603.0,25.0,53.0,8.0,31.0,7.3,2.8,Mcdonals
Signature_Queso_de_Cabra,732.0,32.0,55.0,18.0,42.0,17.0,2.1,Mcdonals
Signature_Queso_de_Cabra_Doble,962.0,53.0,55.0,18.0,58.0,25.0,2.6,Mcdonals
American_Style_Chicken_Buffalo,720.0,28.0,79.0,12.0,32.0,7.8,2.8,Mcdonals
American_Style_Chicken_Honey_Mustard,811.0,31.0,81.0,13.0,40.0,8.4,2.9,Mcdonals
Grand_McExtreme_Intense_Chedar,736.0,41.0,50.0,9.3,41.0,20.0,3.6,Mcdonals
Grand_McExtreme_Intense_Chedar_Doble,966.0,62.0,50.0,9.3,58.0,28.0,4.0,Mcdonals
Grand_McExtreme_Bacon,787.0,43.0,48.0,9.4,46.0,19.0,2.8,Mcdonals
Grand_McExtreme_Bacon_Doble,951.0,59.0,44.0,8.6,59.0,25.0,3.0,Mcdonals
Hamburguesa,253.0,13.0,30.0,6.4,8.5,3.4,1.2,Mcdonals
Cheeseburguer,302.0,16.0,31.0,6.9,12.0,6.0,1.6,Mcdonals
Doble_Cheeseburguer,446.0,26.0,32.0,7.4,23.0,12.0,2.4,Mcdonals
Triple_Cheeseburguer,587.0,37.0,32.0,7.8,34.0,18.0,3.1,Mcdonals
Chicken&Cheese,354.0,14.0,40.0,7.2,15.0,4.3,2.0,Mcdonals
Chicken_Burguer_BBQ,304.0,12.0,39.0,6.7,11.0,1.7,1.5,Mcdonals
Filete_de_Pescado,331.0,15.0,37.0,4.8,13.0,2.6,1.5,Mcdonals
McFish,281.0,14.0,39.0,7.3,7.2,0.9,1.2,Mcdonals
Chicken_Mayo,362.0,12.0,37.0,4.8,18.0,2.8,1.5,Mcdonals
Doble_Chicken_Mayo,505.0,18.0,47.0,5.0,27.0,4.2,2.0,Mcdonals
Triple_Chicken_Mayo,648.0,25.0,56.0,5.3,35.0,5.5,2.6,Mcdonals
Long Vegetal,597.7,16.9,52.1,7.1,33.3,3.0,2.7,BurguerKing
Queen Cheese ,801.9,45.4,46.7,11.4,47.6,25.4,4.2,BurguerKing
Queen Cheese (2 carnes),1012.2,63.5,46.8,11.5,62.9,32.3,4.34,BurguerKing
Queen Cheese doble crispy chicken,1062.9,49.6,74.1,12.7,61.5,27.1,5.69,BurguerKing
Big King Vegetal,504.0,25.0,43.0,11.0,26.0,7.0,3.0,BurguerKing
Whopper Vegetal,604.7,22.2,51.4,12.8,32.9,8.1,2.84,BurguerKing
Whopper,640.3,26.7,51.3,12.8,32.6,8.7,2.3,BurguerKing
Doble Cheese Bacon XXL,970.2,58.5,52.4,13.9,50.5,23.7,4.9,BurguerKing
Big King XXL,994.4,53.7,53.5,13.6,55.0,23.1,4.5,BurguerKing
Steakhouse,895.8,38.0,66.0,15.8,49.1,19.1,3.6,BurguerKing
The King Bacon (2 carnes),1005.3,60.4,50.1,7.7,54.3,21.6,3.88,BurguerKing
The King Huevo (2 carnes),1118.1,61.6,58.4,12.9,62.8,24.4,3.7,BurguerKing
Doble Whopper,882.5,44.8,51.3,12.8,47.8,15.6,2.46,BurguerKing
Big King,525.3,24.8,44.9,11.3,26.9,8.7,2.52,BurguerKing
Doble Cheese Burger BBQ,417.1,24.1,32.2,8.7,20.9,9.8,2.3,BurguerKing
Triple Whopper,1124.8,62.9,51.4,12.9,63.1,22.5,2.6,BurguerKing
Cheeseburger,289.8,14.7,30.4,7.6,11.7,5.0,1.8,BurguerKing
Doble Cheese Bacon,447.3,27.1,31.8,8.5,23.0,10.6,2.7,BurguerKing
Burger,246.4,12.4,28.9,6.5,8.6,3.1,1.2,BurguerKing
