Producto;Calorias_Kcal;Proteinas;Grasas;Grasas_Saturadas;Hidratos_Carbono;Azucares;Sal
Peso;Porción;Porción;Porción;Porción;Porción;Porción;Porción
Actimel;75;2,7;1,5;1;11,8;0;0,15
Kentucky Shake chocolate nata*;335,3;4,69;6,08;4,33;32,55;27,8;0,39
Kentucky Shake Oreo nata*;379,4;4,69;6,08;4,33;41,12;34,92;0,42
Kentucky Shake Fresa nata*;295,9;4,69;6,08;4,33;35,55;30,69;0,39
Kentucky Shake chocolate*;241,7;4,69;6,08;4,33;28,98;24,23;0,39
Kentucky Shake Oreo *;285,8;4,69;6,08;4,33;37,55;31,35;0,42
Kentucky Shake Fresa *;202,3;4,69;6,08;4,33;31,98;27,12;0,39
Cono KFC;167,87;3,88;4,27;2,98;22,56;14,82;0,18
Gofre;400,5;5,36;20,25;10,44;48,15;21,6;1,08
Gofre con chocolate y helado;627,8;6,06;25,57;11,32;72,46;40,58;1,29
Sundae Caramelo;194,95;4,6;5;3,6;29,45;22,18;0,21
Sundae Chocolate;214,4;5,62;9,76;4,66;23,67;18,5;0,21
Sundae Frutas del Bosque;168,08;4,6;5;3,6;24,15;19,3;0,18
KreamBall Oreo;432,22;8,64;13,95;8,96;50,23;41,55;0,35
KreamBall Kit kat;415,95;9,67;14,65;6,02;39,23;31,97;0,29
KreamBall Lacasitos y Caramelo;354,95;7,05;7,6;5,45;51,73;34,85;0,35
7 up free mediano;0,24;0,04;0;0;0;0,05;0,02
7up free grande;0,3;0,05;0;0;0;0,05;0,02
7up free pequeño;0,12;0,02;0;0;0;0,05;0,01
Agua;0;0;0;0;0;0;0
Bifrutas;20;83,68;0,6;0;0;3,6;4
Kas naranja grande;22,5;0,05;0;0;4,3;4,3;0
Kas naranja mediana;18;0,04;0;0;3,44;3,44;0
Kas naranja pequeña;9;0,02;0;0;1,72;1,72;0
Kas Naranja Zero grande;0;0;0;0;0;0;0
Kas Naranja;0,4;0;0;0;0;0;0
Kas Naranja;0,25;0;0;0;0;0;0
Kas Limón Zero grande;1;0;0;0;0,05;0;0,01
Kas Limón;0,8;0;0;0;0,04;0;0
Kas Limón;0,5;0;0;0;0,03;0;0
Lipton grande;15;0,25;0,25;0,25;3,4;3,35;0,01
Lipton mediano;12;0,2;0,2;0,2;2,72;2,68;0,01
Lipton pequeño;5;0,1;0,1;0,1;1,32;1,3;0
Aquarade grande;0,4;0;0;0;0;0;0,02
Aquarade mediano;0,4;0;0;0;0;0;0,02
Aquarade pequeño;0,25;0;0;0;0;0;0,02
Pepsi regular Grande;14;0;0;0;3,5;3,5;0,01
Pepsi regular mediana;11,2;0;0;0;2,8;2,8;0
Pepsi regular pequeña;7;0;0;0;1,75;1,75;0
Pepsi Light grande;1,31;0;0;0;0,4;0;0
Pepsi Light mediana;0,99;0;0;0;0,2;0;0
Pepsi Light pequeña;0,6;0;0;0;0,2;0;0
Pepsi Max Zero cafeína grande;0,2;0,05;0;0;0,05;0;0,01
Pepsi Max Zero cafeína Mediana;0,16;0,04;0;0;0,04;0;0,01
Pepsi Max zero cafeína pequeña;0,08;0,02;0;0;0,02;0;0
Mayonesa;27,8;0,1;2,7;0,23;0,82;0,38;0,18
Ketchup;10,3;0,1;0;0;2,3;2,3;0,18
Salsa 2Hot4U;32,2;0,5;0,5;0;7,59;0;0,74
Salsa Aceite-Vinagre;16,2;0,1;1;0;1,3;0;0,1
Salsa Barbacoa;40;0,5;0,5;0;10;0;0,63
Salsa Caesar;230,5;0,6;23;3,85;5;4,55;0,85
Salsa Fesh Pepper;75,9;0;7,82;0,67;1,38;0,76;0,52
Salsa mostaza;16,08;0,2;0,23;0,03;0,17;0,04;0,15
Salsa queso;128,5;17,4;9,75;3,5;7,6;1,5;1,4
Salsa Sweet Imperial;35,42;0,5;0,23;0,5;8,28;0;0,22
Chick&Share ( 9 tiras de pechuga CR);864;68,4;30,24;3,17;46,44;0;5,98
Chick&Share ( 9 tiras de pechuga OR);752,4;90;33,84;3,6;28,8;0,2;7,2
Chick&Share ( 9 tiras de pechuga Mixtas);814,4;78;31,84;3,36;38,6;0;6,52
Chick&Share ( 12 Alitas picantes);1071,84;52,08;75,6;20,83;43,01;0;5,04
Chick&Share cruji (6 piezas de pollo);1830,6;144,41;107,8;21,7;70,51;0;10,17
Chick&Share original (6 piezas de pollo);1402,62;116,4;81,48;23,28;52,38;0;9,82
Chick&Share mixto (3cruji+ 3 original);1616,61;130,41;94,64;22,49;61,45;0;10
Menú para 2( 5 piezas de pollo OR + 5 alitas picantes);1615,45;118,7;99,4;28,08;61,57;0;10,28
Menú para 2( 5 piezas de pollo cruji + 5 alitas picantes);1972,1;142,05;121,34;26,76;76,68;0;10,58
Menú para 2(12 tiras de pechuga CR);1152;91,2;40,32;4,22;61,92;0;7,97
Menú para 2(12 tiras de pechuga OR);1003,2;120;45,12;4,8;38,4;0;9,6
