Producto,Calorias,Proteinas,Hidratos_Carbono,Azucares,Grasas,Grasas_Saturadas,Sal,Restaurante
Long Vegetal,597.7,16.9,52.1,7.1,33.3,3.0,2.7,BurguerKing
Queen Cheese ,801.9,45.4,46.7,11.4,47.6,25.4,4.2,BurguerKing
Queen Cheese (2 carnes),1012.2,63.5,46.8,11.5,62.9,32.3,4.34,BurguerKing
Queen Cheese doble crispy chicken,1062.9,49.6,74.1,12.7,61.5,27.1,5.69,BurguerKing
Big King Vegetal,504.0,25.0,43.0,11.0,26.0,7.0,3.0,BurguerKing
Whopper Vegetal,604.7,22.2,51.4,12.8,32.9,8.1,2.84,BurguerKing
Whopper,640.3,26.7,51.3,12.8,32.6,8.7,2.3,BurguerKing
Doble Cheese Bacon XXL,970.2,58.5,52.4,13.9,50.5,23.7,4.9,BurguerKing
Big King XXL,994.4,53.7,53.5,13.6,55.0,23.1,4.5,BurguerKing
Steakhouse,895.8,38.0,66.0,15.8,49.1,19.1,3.6,BurguerKing
The King Bacon (2 carnes),1005.3,60.4,50.1,7.7,54.3,21.6,3.88,BurguerKing
The King Huevo (2 carnes),1118.1,61.6,58.4,12.9,62.8,24.4,3.7,BurguerKing
Doble Whopper,882.5,44.8,51.3,12.8,47.8,15.6,2.46,BurguerKing
Big King,525.3,24.8,44.9,11.3,26.9,8.7,2.52,BurguerKing
Doble Cheese Burger BBQ,417.1,24.1,32.2,8.7,20.9,9.8,2.3,BurguerKing
Triple Whopper,1124.8,62.9,51.4,12.9,63.1,22.5,2.6,BurguerKing
Cheeseburger,289.8,14.7,30.4,7.6,11.7,5.0,1.8,BurguerKing
Doble Cheese Bacon,447.3,27.1,31.8,8.5,23.0,10.6,2.7,BurguerKing
Burger,246.4,12.4,28.9,6.5,8.6,3.1,1.2,BurguerKing
Chicken Tendercrisp,655.1,28.1,60.7,6.6,32.3,5.3,3.4,BurguerKing
Long Chicken,605.6,25.0,47.9,6.2,34.2,4.8,3.2,BurguerKing
Crispy Chicken,516.0,16.4,42.2,6.3,30.5,5.6,1.8,BurguerKing
Chicken Wrap,533.8,19.3,45.8,3.2,29.6,9.4,2.0,BurguerKing
