Producto,Calorias,Proteinas,Hidratos_Carbono,Azucares,Grasas,Grasas_Saturadas,Sal,Restaurante
CRUNCHWRAP SUPREME CARNE PICADA,617.0,27.6,59.5,4.7,32.5,13.7,2.4,TacoBell
CRUNCHWRAP SUPREME POLLO ASADO,565.0,32.4,57.2,4.4,25.3,10.1,2.1,TacoBell
CRUNCHWRAP SUPREME VEG,615.0,30.6,61.4,4.9,29.8,12.0,2.1,TacoBell
CRUNCHWRAP SUPREME FRIJOLES,573.0,19.6,73.2,4.4,26.0,10.1,2.1,TacoBell
QUESARITO CARNE PICADA,732.0,31.4,72.2,7.2,36.2,14.9,3.4,TacoBell
QUESARITO POLLO ASADO,680.0,36.2,69.8,7.0,29.0,11.3,3.1,TacoBell
QUESARITO VEG,730.0,34.4,74.0,7.4,33.5,13.2,3.1,TacoBell
BURRITO SANTA MÓNICA CARNE PICADA,438.0,16.3,54.2,7.3,17.2,5.9,2.2,TacoBell
BURRITO SANTA MÓNICA POLLO ASADO,639.0,20.5,92.8,12.1,22.1,6.9,3.3,TacoBell
BURRITO SANTA MÓNICA VEG,666.0,28.5,78.5,8.6,26.5,10.0,3.7,TacoBell
BACON QUESARITO POLLO ASADO,548.0,19.7,61.6,6.4,28.0,5.0,1.7,TacoBell
BACON QUESARITO CARNE PICADA,546.0,22.6,63.4,6.6,25.0,3.3,1.4,TacoBell
GRAN BURRITO CARNE PICADA,692.0,36.9,69.8,7.1,29.0,11.2,3.2,TacoBell
GRAN BURRITO POLLO ASADO,742.0,31.2,72.2,7.3,36.2,14.8,3.3,TacoBell
GRAN BURRITO VEG,688.0,32.2,69.6,3.9,30.4,11.9,3.8,TacoBell
GRAN BURRITO FRIJOLES,636.0,37.0,67.2,3.6,23.2,8.3,3.4,TacoBell
GRAN BURRITO ARROZ,688.0,32.2,69.6,3.9,30.4,11.9,3.8,TacoBell
CHEESY BURRITO,588.0,20.7,75.2,3.6,22.7,8.1,3.0,TacoBell
GRILLERS BARBACOA,394.0,11.0,46.0,6.0,7.0,5.0,2.0,TacoBell
GRILLERS BARBACOA VEG,410.0,8.0,46.0,6.0,9.0,5.0,2.0,TacoBell
GRILLERS BRAVA,463.0,10.0,44.0,6.0,12.0,6.0,3.0,TacoBell
GRILLERS BRAVA VEG,631.0,13.0,85.0,9.0,14.0,6.0,3.0,TacoBell
GRILLERS HABANERO,658.0,21.0,70.0,8.0,19.0,8.0,3.0,TacoBell
GRILLERS HABANERO VEG,658.0,21.0,70.0,8.0,19.0,8.0,3.0,TacoBell
QUESADILLA (SOLO QUESO),577.0,26.8,40.5,3.6,34.1,15.8,2.0,TacoBell
QUESADILLA CARNE PICADA,634.0,34.9,42.7,3.8,35.2,15.0,2.8,TacoBell
QUESADILLA POLLO ASADO,582.0,39.7,40.4,3.6,28.0,11.5,2.5,TacoBell
QUESADILLA VEG,632.0,37.9,44.6,4.0,32.6,13.3,2.5,TacoBell
KIDSADILLA FRIJOLES,589.0,26.9,56.4,3.6,28.7,11.5,2.5,TacoBell
KIDSADILLA CARNE PICADA,263.0,16.9,14.7,0.5,14.8,8.2,1.4,TacoBell
KIDSADILLA VEG,240.0,12.8,21.5,0.4,11.6,6.4,1.3,TacoBell
KIDSADILLA POLLO ASADO,237.0,19.3,13.5,0.4,11.2,6.5,1.3,TacoBell
KIDSADILLA JAMON,200.0,11.9,13.6,0.5,10.7,6.4,1.0,TacoBell
KIDSADILLA QUESO,185.0,9.3,13.5,0.4,10.3,6.2,0.8,TacoBell
NACHOS GRANDES,343.0,7.7,30.8,3.4,24.6,4.6,0.8,TacoBell
NACHOS MEDIANOS,289.0,7.0,24.18,3.3,21.5,4.4,0.7,TacoBell
NACHOS PEQUEÑOS,218.0,5.3,18.7,2.5,16.2,3.3,0.5,TacoBell
NACHOS SUPREME,722.0,12.6,58.7,7.9,51.7,12.4,2.1,TacoBell
NACHOS SUPREME CARNE PICADA,800.0,20.1,59.9,8.0,56.2,14.4,2.7,TacoBell
NACHOS SUPREME VEG,797.0,23.0,61.8,8.2,53.5,12.7,2.4,TacoBell
NACHOS SUPREME POLLO ASADO,774.0,22.5,58.7,7.9,52.6,12.7,2.6,TacoBell
NACHOS SUPREME FRIJOLES,777.0,16.1,66.7,7.9,52.9,12.7,2.6,TacoBell
NACHOS BELL GRANDE CARNE PICADA,796.0,25.6,72.9,5.1,48.6,11.2,2.7,TacoBell
NACHOS BELL GRANDE POLLO ASADO,770.0,28.0,71.7,5.0,45.0,9.4,2.5,TacoBell
NACHOS BELL GRANDE VEG,794.0,28.6,74.8,5.3,45.9,9.5,2.4,TacoBell
NACHOS BELL CARNE PICADA,460.0,16.8,37.5,3.2,28.8,8.2,1.7,TacoBell
NACHOS BELL POLLO ASADO,434.0,19.2,36.3,3.0,25.2,6.4,1.5,TacoBell
NACHOS BELL VEG,458.0,19.8,39.3,3.4,26.2,6.4,1.4,TacoBell
NACHOS FIRE,713.0,12.1,68.2,12.7,46.8,6.6,2.6,TacoBell
CHICKEN NACHOS,306.0,14.7,15.9,1.8,21.0,6.1,1.1,TacoBell
PATATAS MEXICAN MEDIANAS,235.0,3.8,30.1,0.9,11.3,1.9,1.1,TacoBell
PATATAS MEXICAN GRANDES,362.0,5.8,46.3,1.5,17.4,2.9,1.7,TacoBell
PATATAS MEXICAN PEQUEÑAS,233.0,,36.3,0.5,9.5,0.9,0.8,TacoBell
SALSA DE QUESO,70.0,3.3,2.4,2.1,7.8,2.6,0.4,TacoBell
CREMA AGRIA,103.0,1.1,1.8,1.5,10.2,6.3,0.0,TacoBell
JALAPEÑOS,103.0,1.1,1.8,1.5,10.2,6.3,0.0,TacoBell
BACON TOP FRIES,305.82,7.09,32.52,3.06,19.12,4.52,1.5,TacoBell
MEXICAN TWISTS,173.0,1.7,24.1,5.2,8.1,0.6,0.5,TacoBell
SALSA MEXICAN,49.0,1.4,10.0,3.7,0.3,0.0,,TacoBell
ENSALADA COMPLEMENTO,179.0,6.8,25.6,2.9,6.0,2.5,0.8,TacoBell
ENSALADA DE POLLO,419.0,19.6,24.1,4.9,29.7,8.1,1.9,TacoBell
CRUNCHY TACO SUPREME CARNE PICADA,221.0,10.7,11.2,1.6,15.6,6.8,0.8,TacoBell
CRUNCHY TACO SUPREME POLLO ASADO,195.0,13.1,10.0,1.5,12.0,5.0,0.6,TacoBell
CRUNCHY TACO SUPREME FRIJOLES,199.0,6.7,18.0,1.5,12.4,5.0,0.6,TacoBell
CRUNCHY TACO CARNE PICADA,167.0,10.0,9.7,0.5,10.6,3.6,0.8,TacoBell
CRUNCHY TACO POLLO ASADO,141.0,12.4,8.5,0.3,6.9,1.9,0.6,TacoBell
CRUNCHY TACO VEG,165.0,13.0,11.5,0.7,7.9,1.9,0.5,TacoBell
CRUNCHY TACO FRIJOLES,145.0,6.0,16.5,0.3,7.3,1.8,0.6,TacoBell
SOFT TACO SUPREME POLLO ASADO,248.0,12.3,16.8,1.9,15.3,7.9,1.0,TacoBell
SOFT TACO SUPREME VEG,222.0,14.7,15.6,1.8,11.7,6.1,0.9,TacoBell
SOFT TACO SUPREME FRIJOLES,246.0,15.2,18.6,2.1,12.6,6.2,0.8,TacoBell
SOFT TACO SUPREME ARROZ,226.0,8.3,23.6,1.8,12.0,6.1,0.9,TacoBell
SOFT TACO POLLO ASADO,194.0,11.6,15.2,0.8,10.2,4.7,1.0,TacoBell
SOFT TACO VEG,168.0,14.0,14.0,0.6,6.6,3.0,0.9,TacoBell
SOFT TACO FRIJOLES,192.0,14.6,17.1,1.0,7.5,3.0,0.7,TacoBell
SOFT TACO ARROZ,172.0,7.6,22.0,0.6,7.0,3.0,0.9,TacoBell
6 CRUNCHY TACOS VEG (UD),176.0,10.0,9.7,0.5,10.6,3.6,0.8,TacoBell
6 CRUNCHY TACOS FRIJOLES (UD),165.0,13.0,11.5,0.7,7.9,1.9,0.5,TacoBell
6 CRUNCHY TACOS ARROZ (UD),145.0,6.0,16.5,0.3,7.3,1.8,0.6,TacoBell
ICE CREAM TWISTS,173.0,1.7,24.1,1.5,8.1,0.6,0.3,TacoBell
KIT KAT CHOCADILLA,189.0,3.6,24.7,8.7,8.3,4.5,0.4,TacoBell
CONO BELL,4.0,0.0,0.0,0.0,24.0,6.0,0.0,TacoBell
COCA-COLA,1.0,0.0,0.0,0.0,0.0,0.0,0.02,TacoBell
COCA-COLA ZERO,0.3,0.0,0.0,0.0,0.0,0.0,0.02,TacoBell
NESTEA,19.0,0.0,4.5,4.5,0.0,0.0,0.03,TacoBell
FANTA NARANJA,32.0,0.0,7.8,0.0,0.0,0.0,0.0,TacoBell
FANTA LIMON,2.0,0.0,0.0,0.0,0.0,0.0,0.06,TacoBell
AQUARIUS,26.0,0.0,6.3,6.3,0.0,0.0,0.05,TacoBell
CERVEZA MAHOU,30.0,0.2,2.4,0.1,0.0,0.0,0.0,TacoBell
CERVEZA SIN,25.0,0.2,4.6,1.5,0.0,0.0,0.0,TacoBell
GRANIZADO MANDARINA,133.0,1.0,33.0,24.0,1.0,0.0,0.0,TacoBell
GRANIZADO MOJITO,133.0,1.0,33.0,24.0,1.0,0.0,0.0,TacoBell
