Producto,Calorias,Grasas,Grasas_Saturadas,Sal,Hidratos_Carbono,Azucares,Proteinas,Restaurante
CRUNCHWRAP SUPREME CARNE PICADA,617.0,32.5,13.7,2.4,59.5,4.7,27.6,TacoBell
CRUNCHWRAP SUPREME POLLO ASADO,565.0,25.3,10.1,2.1,57.2,4.4,32.4,TacoBell
CRUNCHWRAP SUPREME VEG,615.0,29.8,12.0,2.1,61.4,4.9,30.6,TacoBell
CRUNCHWRAP SUPREME FRIJOLES,573.0,26.0,10.1,2.1,73.2,4.4,19.6,TacoBell
QUESARITO CARNE PICADA,732.0,36.2,14.9,3.4,72.2,7.2,31.4,TacoBell
QUESARITO POLLO ASADO,680.0,29.0,11.3,3.1,69.8,7.0,36.2,TacoBell
QUESARITO VEG,730.0,33.5,13.2,3.1,74.0,7.4,34.4,TacoBell
BURRITO SANTA MÓNICA CARNE PICADA,438.0,17.2,5.9,2.2,54.2,7.3,16.3,TacoBell
BURRITO SANTA MÓNICA POLLO ASADO,639.0,22.1,6.9,3.3,92.8,12.1,20.5,TacoBell
BURRITO SANTA MÓNICA VEG,666.0,26.5,10.0,3.7,78.5,8.6,28.5,TacoBell
BACON QUESARITO POLLO ASADO,548.0,28.0,5.0,1.7,61.6,6.4,19.7,TacoBell
BACON QUESARITO CARNE PICADA,546.0,25.0,3.3,1.4,63.4,6.6,22.6,TacoBell
GRAN BURRITO CARNE PICADA,692.0,29.0,11.2,3.2,69.8,7.1,36.9,TacoBell
GRAN BURRITO POLLO ASADO,742.0,36.2,14.8,3.3,72.2,7.3,31.2,TacoBell
GRAN BURRITO VEG,688.0,30.4,11.9,3.8,69.6,3.9,32.2,TacoBell
GRAN BURRITO FRIJOLES,636.0,23.2,8.3,3.4,67.2,3.6,37.0,TacoBell
GRAN BURRITO ARROZ,688.0,30.4,11.9,3.8,69.6,3.9,32.2,TacoBell
CHEESY BURRITO,588.0,22.7,8.1,3.0,75.2,3.6,20.7,TacoBell
GRILLERS BARBACOA,394.0,7.0,5.0,2.0,46.0,6.0,11.0,TacoBell
GRILLERS BARBACOA VEG,410.0,9.0,5.0,2.0,46.0,6.0,8.0,TacoBell
GRILLERS BRAVA,463.0,12.0,6.0,3.0,44.0,6.0,10.0,TacoBell
GRILLERS BRAVA VEG,631.0,14.0,6.0,3.0,85.0,9.0,13.0,TacoBell
GRILLERS HABANERO,658.0,19.0,8.0,3.0,70.0,8.0,21.0,TacoBell
GRILLERS HABANERO VEG,658.0,19.0,8.0,3.0,70.0,8.0,21.0,TacoBell
QUESADILLA (SOLO QUESO),577.0,34.1,15.8,2.0,40.5,3.6,26.8,TacoBell
QUESADILLA CARNE PICADA,634.0,35.2,15.0,2.8,42.7,3.8,34.9,TacoBell
QUESADILLA POLLO ASADO,582.0,28.0,11.5,2.5,40.4,3.6,39.7,TacoBell
QUESADILLA VEG,632.0,32.6,13.3,2.5,44.6,4.0,37.9,TacoBell
KIDSADILLA FRIJOLES,589.0,28.7,11.5,2.5,56.4,3.6,26.9,TacoBell
KIDSADILLA CARNE PICADA,263.0,14.8,8.2,1.4,14.7,0.5,16.9,TacoBell
KIDSADILLA VEG,240.0,11.6,6.4,1.3,21.5,0.4,12.8,TacoBell
KIDSADILLA POLLO ASADO,237.0,11.2,6.5,1.3,13.5,0.4,19.3,TacoBell
KIDSADILLA JAMON,200.0,10.7,6.4,1.0,13.6,0.5,11.9,TacoBell
KIDSADILLA QUESO,185.0,10.3,6.2,0.8,13.5,0.4,9.3,TacoBell
NACHOS GRANDES,343.0,24.6,4.6,0.8,30.8,3.4,7.7,TacoBell
NACHOS MEDIANOS,289.0,21.5,4.4,0.7,24.18,3.3,7.0,TacoBell
NACHOS PEQUEÑOS,218.0,16.2,3.3,0.5,18.7,2.5,5.3,TacoBell
NACHOS SUPREME,722.0,51.7,12.4,2.1,58.7,7.9,12.6,TacoBell
NACHOS SUPREME CARNE PICADA,800.0,56.2,14.4,2.7,59.9,8.0,20.1,TacoBell
NACHOS SUPREME VEG,797.0,53.5,12.7,2.4,61.8,8.2,23.0,TacoBell
NACHOS SUPREME POLLO ASADO,774.0,52.6,12.7,2.6,58.7,7.9,22.5,TacoBell
NACHOS SUPREME FRIJOLES,777.0,52.9,12.7,2.6,66.7,7.9,16.1,TacoBell
NACHOS BELL GRANDE CARNE PICADA,796.0,48.6,11.2,2.7,72.9,5.1,25.6,TacoBell
